tid,src,dst,amt,time,day_of_week,is_fraud
13156,p3046,p1589,622.03,12,3,False
13157,p1406,p3392,470.26,6,5,False
13158,p2410,p1733,682.99,11,2,False
13159,p506,p546,159.3,16,5,False
13160,p3864,p3141,192.33,19,7,False
13161,p2028,p385,41.83,18,1,False
13162,p1950,p2066,740.97,7,2,False
13163,p1149,p2341,389.94,15,3,False
13164,p2681,p1680,736.82,21,6,False
13165,p1258,p3010,887.15,14,4,False
13166,p2155,p1035,405.63,18,5,False
13167,p63,p4640,251.8,16,2,False
13168,p3013,p4719,545.67,21,4,False
13169,p1312,p571,712.52,6,1,False
13170,p4696,p4359,773.36,21,7,False
13171,p69,p3842,909.51,17,7,False
13172,p771,p4986,688.24,3,5,False
13173,p1381,p740,847.02,3,6,False
13174,p1672,p109,539.42,3,3,False
13175,p2816,p1951,71.74,9,1,False
13176,p1817,p4317,681.69,24,5,False
13177,p1855,p4902,138.79,20,6,False
13178,p833,p4856,65.16,22,3,False
13179,p4639,p4804,739.32,24,6,False
13180,p722,p565,414.48,5,5,False
13181,p3225,p1194,504.59,13,7,False
13182,p1839,p4232,406.43,18,6,False
13183,p2626,p4748,590.65,21,4,False
13184,p4222,p4737,409.11,20,7,False
13185,p4384,p4103,281.12,19,6,False
13186,p2496,p1851,688.49,2,4,False
13187,p1076,p2205,209.65,23,3,False
13188,p1077,p1649,702.46,16,7,False
13189,p3882,p2827,917.25,24,7,False
13190,p2676,p4363,319.27,24,1,False
13191,p2947,p4143,807.59,19,2,False
13192,p2792,p1154,293.14,7,5,False
13193,p636,p4044,662.55,14,3,False
13194,p754,p1501,603.34,6,2,False
13195,p3344,p165,751.1,21,4,False
13196,p4489,p3557,440.17,8,3,False
13197,p1169,p1875,792.71,8,2,False
13198,p3694,p3014,771.34,15,3,False
13199,p767,p4706,668.89,7,6,False
13200,p3749,p63,807.14,16,6,False
13201,p1331,p2063,309.97,20,3,False
13202,p4254,p2220,402.55,8,3,False
13203,p2284,p1253,513.38,20,4,False
13204,p4526,p510,459.01,6,5,False
13205,p1974,p4213,656.21,9,5,False
13206,p916,p2928,659.17,9,5,False
13207,p3881,p3448,769.76,17,1,False
13208,p3492,p2391,481.88,16,2,False
13209,p3215,p3323,239.46,7,3,False
13210,p498,p2194,319.37,12,7,False
13211,p3011,p1416,802.75,23,1,False
13212,p4724,p2974,778.17,20,1,False
13213,p718,p2776,715.59,12,4,False
13214,p1767,p4039,700.32,13,2,False
13215,p3149,p2819,484.12,2,6,False
13216,p4343,p497,463.99,24,3,False
13217,p2052,p2352,574.32,12,2,False
13218,p3573,p4179,826.23,19,6,False
13219,p112,p3563,735.65,6,3,False
13220,p313,p4623,723.72,11,5,False
13221,p163,p3817,370.65,17,5,False
13222,p1779,p4972,447.14,6,2,False
13223,p3076,p2083,605.26,13,5,False
13224,p4997,p3978,434.04,9,6,False
13225,p2757,p3054,320.33,9,1,False
13226,p456,p439,590.53,17,7,False
13227,p683,p2374,493.26,4,2,False
13228,p3791,p4530,208.5,1,4,False
13229,p4200,p459,108.05,1,1,False
13230,p1442,p1737,618.76,20,4,False
13231,p3627,p4566,348.73,12,6,False
13232,p2431,p3935,437.73,11,1,False
13233,p4324,p4173,607.51,17,6,False
13234,p4144,p2568,731.96,4,6,False
13235,p4224,p878,764.56,14,3,False
13236,p217,p1998,666.9,7,2,False
13237,p2479,p1702,415.62,19,6,False
13238,p2172,p349,720.15,3,7,False
13239,p4033,p4505,623.26,4,6,False
13240,p4238,p1776,102.03,21,7,False
13241,p3977,p833,256.13,10,5,False
13242,p2743,p4977,302.77,4,4,False
13243,p3351,p2468,128.38,17,2,False
13244,p130,p4335,653.2,3,3,False
13245,p3389,p34,204.4,3,4,False
13246,p4666,p4919,543.29,1,5,False
13247,p747,p909,652.61,12,1,False
13248,p3341,p711,186.9,15,6,False
13249,p4644,p7,873.3,24,4,False
13250,p3448,p2816,510.81,9,4,False
13251,p3475,p3134,636.35,12,2,False
13252,p4284,p374,485.85,22,3,False
13253,p3770,p2205,576.49,12,5,False
13254,p4115,p2179,452.34,4,5,False
13255,p4061,p3005,338.4,14,5,False
13256,p530,p662,336.77,2,5,False
13257,p4759,p3318,202.8,1,5,False
13258,p3211,p743,338.47,6,2,False
13259,p584,p1778,580.94,3,3,False
13260,p3547,p393,119.58,3,2,False
13261,p4758,p2915,468.62,1,7,False
13262,p4995,p2572,454.91,7,1,False
13263,p1974,p4213,676.65,10,5,False
13264,p2353,p2127,534.13,14,5,False
13265,p4963,p4153,445.34,1,1,False
13266,p508,p3224,233.27,5,7,False
13267,p1304,p2994,202.89,11,2,False
13268,p3276,p4383,355.79,17,6,False
13269,p1609,p1993,385.95,14,6,False
13270,p1197,p395,651.85,3,4,False
13271,p4622,p2471,586.17,16,6,False
13272,p2992,p3836,783.89,22,1,False
13273,p2154,p1746,280.8,6,2,False
13274,p1103,p1961,759.48,5,1,False
13275,p1412,p858,467.77,10,6,False
13276,p4712,p900,446.85,19,6,False
13277,p3975,p3412,409.12,10,7,False
13278,p380,p3573,574.05,23,7,False
13279,p238,p180,654.34,5,3,False
13280,p1566,p2986,700.01,8,6,False
13281,p4655,p1749,681.51,3,3,False
13282,p3619,p1519,640.43,6,5,False
13283,p2946,p3326,721.49,8,4,False
13284,p1263,p3291,632.27,14,5,False
13285,p1711,p4882,459.8,11,5,False
13286,p828,p2270,781.66,16,3,False
13287,p2793,p3825,451.81,23,7,False
13288,p2255,p4652,273.95,9,7,False
13289,p114,p635,544.47,20,5,False
13290,p468,p4475,612.95,20,2,False
13291,p4727,p2609,227.41,10,6,False
13292,p1102,p214,397.08,2,3,False
13293,p2251,p1318,134.8,10,7,False
13294,p706,p1826,903.31,5,7,False
13295,p869,p2601,405.67,24,5,False
13296,p3004,p1809,468.8,3,1,False
13297,p1591,p1064,272.75,20,7,False
13298,p2854,p4291,391.34,17,7,False
13299,p4924,p4032,558.27,1,5,False
13300,p1112,p1474,343.84,3,1,False
13301,p3080,p3785,431.92,6,6,False
13302,p1219,p951,216.45,21,3,False
13303,p3422,p2093,534.05,22,4,False
13304,p778,p277,268.02,3,2,False
13305,p3273,p4786,566.93,10,1,False
13306,p4438,p1835,160.79,4,4,False
13307,p256,p4458,692.87,23,6,False
13308,p1879,p3529,763.17,6,6,False
13309,p1848,p2071,425.67,10,7,False
13310,p4223,p1833,154.99,21,3,False
13311,p1439,p568,312.19,14,6,False
13312,p4738,p3876,205.14,1,7,False
13313,p1265,p3309,538.72,1,1,False
13314,p2269,p1844,710.64,5,5,False
13315,p4349,p1781,608.42,20,4,False
13316,p1498,p2068,315.41,21,5,False
13317,p3860,p2081,296.68,12,3,False
13318,p1857,p4033,526.35,21,4,False
13319,p1443,p1962,817.86,4,2,False
13320,p995,p2318,380.36,17,3,False
13321,p2153,p1221,730.3,14,3,False
13322,p2521,p1524,415.7,21,5,False
13323,p4972,p985,179.01,15,5,False
13324,p1201,p4030,568.82,8,1,False
13325,p89,p1752,779.06,9,7,False
13326,p3662,p3757,183.25,9,2,False
13327,p3370,p50,572.46,13,3,False
13328,p4556,p4975,833.06,13,6,False
13329,p2636,p4833,194.27,3,5,False
13330,p4121,p3335,770.74,24,2,False
13331,p306,p24,348.83,20,1,False
13332,p4303,p4877,678.7,5,1,False
13333,p27,p2545,553.28,8,4,False
13334,p2738,p2001,769.56,17,5,False
13335,p3350,p1698,648.24,6,3,False
13336,p564,p3630,833.36,11,1,False
13337,p2620,p4722,380.19,20,1,False
13338,p524,p4234,388.74,7,5,False
13339,p1634,p2344,407.64,14,5,False
13340,p4223,p1623,358.14,18,3,False
13341,p2292,p1494,95.83,12,4,False
13342,p2900,p1689,416.43,7,1,False
13343,p2596,p2115,82.5,17,5,False
13344,p1693,p3066,721.27,20,3,False
13345,p1284,p2086,350.72,5,6,False
13346,p4665,p3593,374.27,5,1,False
13347,p4571,p3115,559.76,19,5,False
13348,p4119,p3978,686.89,2,3,False
13349,p3693,p2633,813.33,22,2,False
13350,p2671,p4557,121.05,4,7,False
13351,p1975,p2220,281.57,4,2,False
13352,p1578,p4918,303.23,19,5,False
13353,p1111,p204,456.59,19,1,False
13354,p2973,p244,483.97,10,5,False
13355,p3738,p1492,796.4,24,7,False
13356,p2259,p3299,710.02,16,5,False
13357,p3957,p12,243.0,22,7,False
13358,p3235,p337,405.51,12,2,False
13359,p3110,p4843,438.79,13,2,False
13360,p2558,p1891,364.21,7,5,False
13361,p4807,p1905,433.21,3,6,False
13362,p1123,p832,632.16,24,3,False
13363,p4454,p4845,641.58,14,7,False
13364,p2782,p4764,543.83,10,1,False
13365,p2561,p2641,121.17,11,7,False
13366,p2727,p2623,387.44,5,4,False
13367,p4913,p4188,142.61,7,5,False
13368,p4277,p4992,616.73,11,3,False
13369,p512,p4332,591.52,2,5,False
13370,p412,p74,877.06,14,6,False
13371,p1226,p3015,588.59,12,5,False
13372,p1752,p710,312.66,11,3,False
13373,p3789,p1042,333.94,1,7,False
13374,p1607,p1672,639.66,8,1,False
13375,p793,p4350,904.15,20,5,False
13376,p1211,p4504,293.41,17,1,False
13377,p1631,p3403,552.76,2,5,False
13378,p4336,p900,460.6,23,3,False
13379,p3707,p569,412.05,20,6,False
13380,p3746,p2336,279.72,4,2,False
13381,p4314,p1561,684.33,10,4,False
13382,p3183,p1040,567.53,19,6,False
13383,p2298,p4394,522.48,12,5,False
13384,p2777,p3418,502.02,5,1,False
13385,p3498,p3365,644.46,24,3,False
13386,p3805,p1095,861.5,17,6,False
13387,p1253,p3143,318.78,5,2,False
13388,p4949,p2502,522.63,22,2,False
13389,p1437,p1510,571.59,7,5,False
13390,p1910,p3849,704.05,1,5,False
13391,p2857,p4766,809.95,11,4,False
13392,p710,p2881,350.85,16,2,False
13393,p379,p3287,369.41,4,2,False
13394,p3362,p2643,453.05,8,4,False
13395,p292,p1797,231.71,17,4,False
13396,p2413,p328,555.48,20,1,False
13397,p2006,p3708,440.41,19,4,False
13398,p4367,p1308,249.92,7,1,False
13399,p348,p895,268.77,22,2,False
13400,p1490,p4595,453.04,17,2,False
13401,p1981,p1635,199.96,12,2,False
13402,p3749,p63,808.95,15,5,False
13403,p3834,p2814,783.67,9,6,False
13404,p576,p296,246.38,1,7,False
13405,p772,p1742,755.4,9,6,False
13406,p936,p3532,596.72,8,7,False
13407,p2217,p3657,926.16,13,7,False
13408,p106,p4049,598.68,8,3,False
13409,p793,p4350,959.65,20,5,False
13410,p645,p307,827.12,11,2,False
13411,p511,p3403,939.42,14,6,False
13412,p4968,p2299,706.94,16,5,False
13413,p1107,p3474,169.54,3,7,False
13414,p1132,p1164,196.49,23,7,False
13415,p199,p937,246.86,8,2,False
13416,p4843,p4644,588.27,23,7,False
13417,p2170,p2558,426.96,23,4,False
13418,p3711,p3523,263.93,3,4,False
13419,p2982,p1695,412.39,22,6,False
13420,p2717,p4155,450.23,23,2,False
13421,p2035,p3246,473.88,17,6,False
13422,p3296,p1315,167.59,15,3,False
13423,p3214,p2897,258.71,18,2,False
13424,p1872,p3943,251.75,3,7,False
13425,p2061,p2586,457.68,17,7,False
13426,p180,p1523,634.13,16,6,False
13427,p2827,p4214,471.78,24,2,False
13428,p4476,p2272,200.72,1,2,False
13429,p531,p2088,813.29,20,6,False
13430,p3979,p1618,672.92,7,3,False
13431,p4100,p4333,877.22,4,3,False
13432,p587,p4208,604.02,4,7,False
13433,p3842,p884,913.39,23,5,False
13434,p3475,p425,814.92,15,2,False
13435,p537,p3735,542.82,19,1,False
13436,p666,p2213,508.11,1,7,False
13437,p1537,p743,356.68,2,3,False
13438,p2478,p4269,220.97,22,1,False
13439,p960,p3032,385.26,7,2,False
13440,p702,p91,376.42,20,3,False
13441,p4578,p369,575.16,5,1,False
13442,p1880,p4918,536.49,7,5,False
13443,p1956,p4207,518.92,23,7,False
13444,p3774,p567,800.85,10,2,False
13445,p1477,p4141,591.67,22,4,False
13446,p2319,p2223,613.57,21,2,False
13447,p2557,p2235,792.09,17,4,False
13448,p2093,p585,735.24,5,4,False
13449,p3568,p1095,257.66,16,3,False
13450,p819,p3133,76.83,22,1,False
13451,p2587,p3286,295.89,11,5,False
13452,p769,p1186,276.82,7,4,False
13453,p52,p4730,311.86,14,6,False
13454,p1052,p1975,435.27,10,5,False
13455,p1608,p1411,519.07,1,7,False
13456,p4269,p4401,411.74,7,2,False
13457,p634,p36,170.08,21,4,False
13458,p4507,p1723,687.91,7,4,False
13459,p324,p2643,329.04,11,7,False
13460,p947,p3603,718.84,16,5,False
13461,p1592,p649,552.72,4,2,False
13462,p2319,p1387,577.85,16,2,False
13463,p1813,p4174,856.8,7,5,False
13464,p3382,p2484,349.47,7,3,False
13465,p1044,p1492,833.26,14,7,False
13466,p1629,p1243,296.94,10,6,False
13467,p1031,p1675,222.39,2,3,False
13468,p3904,p4878,635.17,11,4,False
13469,p2534,p2384,542.29,13,5,False
13470,p950,p546,509.21,6,2,False
13471,p1786,p4298,371.36,1,2,False
13472,p3880,p3883,378.88,11,4,False
13473,p106,p763,586.07,14,6,False
13474,p4154,p4298,831.2,5,5,False
13475,p600,p4819,489.42,12,3,False
13476,p4230,p2995,862.14,16,2,False
13477,p1412,p4890,633.28,4,4,False
13478,p3018,p884,196.42,17,4,False
13479,p945,p3917,638.26,24,4,False
13480,p2477,p723,735.52,1,7,False
13481,p3844,p3873,482.8,3,4,False
13482,p4107,p3990,500.34,2,6,False
13483,p770,p1468,507.26,10,3,False
13484,p3049,p845,280.72,24,5,False
13485,p117,p143,583.88,14,6,False
13486,p4269,p2257,434.46,5,4,False
13487,p4340,p2191,172.62,9,1,False
13488,p2594,p3178,673.69,22,4,False
13489,p392,p2162,358.88,3,4,False
13490,p3306,p3754,311.84,15,3,False
13491,p229,p1756,648.17,10,5,False
13492,p2035,p3246,482.4,15,6,False
13493,p1591,p2344,421.0,3,4,False
13494,p1799,p3376,734.41,5,5,False
13495,p781,p3624,373.15,23,5,False
13496,p4613,p178,348.82,7,5,False
13497,p2049,p144,253.24,3,2,False
13498,p2279,p1042,200.5,23,3,False
13499,p3561,p3234,610.68,20,7,False
13500,p4887,p4049,433.07,24,1,False
13501,p4281,p3083,277.36,9,4,False
13502,p793,p1520,456.69,2,5,False
13503,p1884,p1789,277.29,10,5,False
13504,p3071,p2809,374.75,6,2,False
13505,p1283,p3073,458.26,22,7,False
13506,p2883,p3380,593.42,24,6,False
13507,p1364,p460,652.1,2,5,False
13508,p1727,p1880,631.44,3,3,False
13509,p2685,p646,761.01,5,2,False
13510,p922,p3511,579.35,17,7,False
13511,p2434,p2588,515.76,9,2,False
13512,p2392,p4903,478.15,11,7,False
13513,p2182,p3284,343.27,17,1,False
13514,p2649,p2953,422.62,22,6,False
13515,p2580,p133,339.78,16,6,False
13516,p1468,p4625,692.16,7,2,False
13517,p4516,p3367,529.17,16,2,False
13518,p1643,p2441,764.63,15,6,False
13519,p489,p1666,511.73,6,7,False
13520,p3354,p2543,853.2,5,3,False
13521,p4215,p1051,225.62,2,1,False
13522,p188,p1967,203.47,21,4,False
13523,p1993,p3743,319.96,10,2,False
13524,p3646,p4517,328.83,24,2,False
13525,p2178,p4891,888.22,2,3,False
13526,p120,p1728,901.02,13,4,False
13527,p2850,p4418,725.71,14,1,False
13528,p338,p199,283.15,12,7,False
13529,p589,p3679,734.77,4,4,False
13530,p1064,p3419,972.01,17,1,False
13531,p1695,p4249,366.46,4,5,False
13532,p4211,p4907,602.27,22,1,False
13533,p4144,p1346,881.75,7,1,False
13534,p3716,p3280,58.41,5,4,False
13535,p1868,p1272,831.98,20,1,False
13536,p4426,p528,478.61,19,1,False
13537,p4472,p3308,516.39,24,2,False
13538,p3329,p4781,320.86,20,3,False
13539,p2580,p133,347.63,12,6,False
13540,p444,p4850,287.05,17,2,False
13541,p485,p878,240.96,3,6,False
13542,p4122,p990,865.79,7,3,False
13543,p3317,p2417,34.67,13,5,False
13544,p153,p2040,205.84,9,4,False
13545,p2256,p3226,363.79,18,3,False
13546,p3673,p2946,516.79,23,7,False
13547,p1414,p3606,333.1,11,6,False
13548,p1060,p733,91.99,22,6,False
13549,p3976,p4512,558.02,5,3,False
13550,p2772,p434,461.89,23,3,False
13551,p3029,p804,318.37,20,7,False
13552,p3403,p4107,275.73,8,6,False
13553,p2241,p900,688.89,5,1,False
13554,p4810,p4460,632.1,15,4,False
13555,p1174,p1142,255.99,9,5,False
13556,p4862,p3804,452.51,6,6,False
13557,p1612,p3945,384.42,6,7,False
13558,p566,p4984,292.38,16,7,False
13559,p4002,p704,723.8,14,2,False
13560,p455,p2196,702.5,21,4,False
13561,p4004,p4303,337.93,6,3,False
13562,p2709,p887,293.81,12,1,False
13563,p82,p1768,697.07,2,5,False
13564,p1585,p3027,604.45,22,2,False
13565,p1367,p4491,466.64,21,2,False
13566,p2650,p2881,569.19,1,4,False
13567,p2249,p2841,424.94,3,5,False
13568,p3136,p2430,573.3,5,1,False
13569,p1920,p871,304.27,21,4,False
13570,p1699,p3166,318.38,20,6,False
13571,p1672,p326,830.1,3,4,False
13572,p2563,p1778,575.34,20,4,False
13573,p2575,p2815,418.17,9,2,False
13574,p3782,p4451,511.44,16,4,False
13575,p3663,p4578,784.07,6,6,False
13576,p442,p1242,452.91,24,5,False
13577,p3156,p1885,745.03,13,1,False
13578,p1594,p3581,417.65,2,2,False
13579,p1463,p683,660.15,18,4,False
13580,p3081,p917,465.49,24,1,False
13581,p3389,p1331,262.28,3,2,False
13582,p3431,p4211,254.96,11,7,False
13583,p2138,p3621,868.45,7,1,False
13584,p1797,p1670,595.27,11,1,False
13585,p401,p3118,701.0,2,5,False
13586,p476,p3438,813.57,5,1,False
13587,p3094,p1240,675.33,4,3,False
13588,p1547,p1024,563.72,17,7,False
13589,p2451,p3906,309.72,12,4,False
13590,p4923,p4580,795.95,9,5,False
13591,p2386,p2538,598.74,14,2,False
13592,p4452,p2535,226.18,6,5,False
13593,p3031,p2012,570.99,6,4,False
13594,p4939,p267,405.59,9,5,False
13595,p284,p1209,352.9,8,4,False
13596,p3881,p3185,487.79,16,7,False
13597,p56,p1206,639.17,4,2,False
13598,p2682,p3446,647.91,17,6,False
13599,p2375,p2111,428.77,1,1,False
13600,p3619,p1519,658.24,5,5,False
13601,p2814,p3558,612.39,3,1,False
13602,p3100,p4634,237.93,23,1,False
13603,p1078,p4566,288.02,12,7,False
13604,p467,p78,770.32,16,2,False
13605,p1982,p3015,784.46,16,1,False
13606,p2109,p1483,691.42,1,3,False
13607,p472,p2223,641.56,20,6,False
13608,p404,p2147,423.41,11,2,False
13609,p1622,p1993,560.46,17,3,False
13610,p1303,p4870,54.38,21,1,False
13611,p1182,p3588,410.14,13,3,False
13612,p2002,p1292,809.14,9,7,False
13613,p1109,p2657,748.91,2,2,False
13614,p4358,p481,96.76,16,7,False
13615,p3588,p2153,245.62,16,7,False
13616,p4636,p1055,507.19,2,4,False
13617,p2511,p1150,455.93,6,4,False
13618,p3201,p4078,256.27,5,3,False
13619,p4587,p1932,682.95,8,2,False
13620,p150,p1913,227.99,9,3,False
13621,p4169,p1847,177.56,7,2,False
13622,p856,p3338,770.45,24,5,False
13623,p516,p1683,384.84,22,2,False
13624,p779,p3098,277.3,14,6,False
13625,p1287,p1573,744.51,18,7,False
13626,p2996,p96,575.63,9,6,False
13627,p115,p4363,336.19,7,7,False
13628,p4005,p270,944.9,18,7,False
13629,p626,p2276,384.52,18,6,False
13630,p3745,p1826,917.44,5,1,False
13631,p3369,p4373,744.68,11,6,False
13632,p3057,p560,728.91,23,3,False
13633,p3685,p1986,266.35,21,3,False
13634,p2262,p1381,333.29,21,7,False
13635,p4471,p1530,389.47,14,6,False
13636,p1493,p1262,717.15,24,5,False
13637,p1423,p4134,555.61,6,2,False
13638,p3638,p2137,317.8,3,4,False
13639,p4503,p596,251.72,21,3,False
13640,p2701,p3259,602.4,16,7,False
13641,p4225,p2913,929.52,24,1,False
13642,p2404,p2133,751.76,4,5,False
13643,p2802,p3060,126.59,17,6,False
13644,p4681,p789,696.68,12,1,False
13645,p3430,p1472,188.72,11,3,False
13646,p4867,p3143,159.16,9,2,False
13647,p1321,p910,505.72,20,2,False
13648,p4307,p2588,626.82,3,3,False
13649,p267,p224,774.46,17,1,False
13650,p2425,p967,493.32,9,6,False
13651,p148,p1726,408.67,21,5,False
13652,p3300,p2813,582.85,6,6,False
13653,p1173,p4763,584.92,2,6,False
13654,p4917,p4458,157.82,13,4,False
13655,p1279,p262,297.4,19,2,False
13656,p2815,p2604,466.58,24,2,False
13657,p3379,p4411,319.86,4,7,False
13658,p1274,p1428,337.2,21,5,False
13659,p4931,p4547,374.21,10,2,False
13660,p2906,p4206,534.8,5,6,False
13661,p3838,p4191,759.61,9,3,False
13662,p3760,p1796,446.19,1,3,False
13663,p2843,p1805,272.56,21,7,False
13664,p4591,p2193,621.04,1,1,False
13665,p1429,p4192,445.84,1,1,False
13666,p2754,p3637,264.34,16,4,False
13667,p674,p348,378.77,6,7,False
13668,p671,p2998,468.46,19,1,False
13669,p1847,p1939,737.46,20,7,False
13670,p2928,p3049,645.61,9,3,False
13671,p2401,p59,197.28,22,6,False
13672,p3457,p830,569.94,4,5,False
13673,p3870,p3632,377.54,17,2,False
13674,p4095,p2306,318.07,1,6,False
13675,p367,p2499,840.89,17,1,False
13676,p4519,p4276,572.14,23,4,False
13677,p1517,p1046,589.31,17,2,False
13678,p743,p2588,618.92,12,6,False
13679,p2060,p1453,639.69,15,5,False
13680,p875,p2878,168.76,11,4,False
13681,p4025,p1267,595.31,11,3,False
13682,p849,p3256,100.45,16,1,False
13683,p2814,p3558,587.3,23,1,False
13684,p2966,p4321,529.44,12,6,False
13685,p1957,p1563,544.78,14,1,False
13686,p4259,p2965,543.98,2,4,False
13687,p1737,p1318,829.2,7,5,False
13688,p4244,p79,854.09,4,7,False
13689,p1865,p1354,462.88,18,6,False
13690,p1539,p1133,631.58,7,6,False
13691,p2499,p5,102.34,21,7,False
13692,p597,p47,157.14,15,3,False
13693,p604,p2849,267.11,4,2,False
13694,p989,p4717,137.66,9,6,False
13695,p3058,p4295,606.01,2,7,False
13696,p558,p425,815.42,20,4,False
13697,p2161,p2259,409.71,22,2,False
13698,p2866,p4788,485.61,3,4,False
13699,p3569,p4469,688.49,18,1,False
13700,p3746,p4941,158.29,6,4,False
13701,p3517,p237,209.86,6,7,False
13702,p337,p2896,663.31,22,6,False
13703,p3283,p4414,303.13,23,7,False
13704,p1636,p3806,602.61,11,6,False
13705,p779,p3098,409.77,12,4,False
13706,p2229,p872,606.74,13,2,False
13707,p800,p3099,90.86,10,7,False
13708,p2299,p998,522.05,19,3,False
13709,p3067,p466,326.64,7,6,False
13710,p22,p404,175.0,10,4,False
13711,p4666,p2330,628.6,24,5,False
13712,p1459,p330,638.14,13,7,False
13713,p321,p3989,620.59,13,2,False
13714,p1863,p4539,601.86,21,4,False
13715,p3980,p3401,315.92,17,3,False
13716,p1293,p2124,706.79,15,5,False
13717,p1816,p3319,737.42,12,6,False
13718,p64,p951,423.5,23,1,False
13719,p685,p3618,299.2,15,4,False
13720,p489,p1666,581.95,2,6,False
13721,p2804,p3194,645.65,9,2,False
13722,p2757,p3054,322.73,9,7,False
13723,p2545,p958,520.6,8,2,False
13724,p1083,p2530,536.09,23,3,False
13725,p4475,p1255,436.34,9,1,False
13726,p501,p4640,282.97,17,6,False
13727,p3058,p4617,370.66,22,7,False
13728,p809,p886,269.34,2,4,False
13729,p1731,p4655,753.24,17,7,False
13730,p2509,p3991,536.74,22,3,False
13731,p758,p3510,217.67,11,6,False
13732,p4488,p2907,527.08,9,5,False
13733,p3532,p3079,343.32,18,2,False
13734,p4199,p2866,702.88,12,6,False
13735,p325,p1653,352.24,24,2,False
13736,p1260,p1946,197.31,19,1,False
13737,p439,p989,664.08,19,6,False
13738,p3791,p4530,212.08,24,4,False
13739,p1826,p3711,513.61,19,3,False
13740,p1222,p1276,597.02,4,4,False
13741,p2827,p1723,347.54,22,6,False
13742,p406,p2189,408.24,2,7,False
13743,p2348,p690,611.4,1,1,False
13744,p4113,p1895,647.95,12,1,False
13745,p2433,p342,420.95,10,3,False
13746,p93,p2894,363.52,4,5,False
13747,p4336,p1172,168.73,21,7,False
13748,p682,p3014,663.53,22,7,False
13749,p2492,p1967,212.62,16,6,False
13750,p3633,p1520,444.28,19,5,False
13751,p3321,p3519,438.46,5,7,False
13752,p1496,p740,557.17,17,2,False
13753,p3499,p4768,392.0,23,7,False
13754,p65,p491,220.05,17,7,False
13755,p4501,p756,102.09,18,6,False
13756,p3713,p4655,748.81,16,2,False
13757,p3969,p3945,383.37,12,7,False
13758,p2221,p4685,360.96,18,3,False
13759,p131,p2620,529.88,10,7,False
13760,p1331,p2063,284.91,19,4,False
13761,p647,p1612,729.05,19,7,False
13762,p417,p412,475.51,21,4,False
13763,p2855,p2903,412.89,2,3,False
13764,p3147,p2715,132.2,16,7,False
13765,p2438,p4491,623.59,8,2,False
13766,p1444,p4623,421.94,18,1,False
13767,p188,p4117,184.34,21,2,False
13768,p379,p3590,484.57,8,7,False
13769,p3016,p965,643.15,15,1,False
13770,p3388,p3835,697.76,14,5,False
13771,p3888,p2834,282.11,22,1,False
13772,p3167,p2309,225.03,24,4,False
13773,p869,p4782,429.2,22,2,False
13774,p2723,p4869,441.27,24,6,False
13775,p378,p1750,666.02,17,2,False
13776,p3187,p1054,357.66,1,5,False
13777,p1581,p2654,710.96,2,7,False
13778,p2543,p1771,394.57,19,4,False
13779,p2454,p1657,406.08,23,3,False
13780,p2586,p3042,257.08,15,2,False
13781,p2070,p2959,764.98,14,7,False
13782,p1837,p2654,643.09,1,2,False
13783,p557,p2547,661.74,11,3,False
13784,p3364,p4420,709.34,12,7,False
13785,p4226,p4448,726.89,13,4,False
13786,p2971,p1074,734.01,20,6,False
13787,p4240,p653,561.09,22,2,False
13788,p4652,p3684,655.38,11,5,False
13789,p2242,p1693,874.79,13,5,False
13790,p2566,p293,435.7,7,3,False
13791,p2850,p4418,527.04,18,1,False
13792,p1395,p3239,443.3,12,2,False
13793,p4987,p2733,442.97,15,5,False
13794,p1179,p1689,109.04,20,2,False
13795,p2778,p3652,302.16,23,1,False
13796,p4770,p3560,499.09,18,2,False
13797,p1387,p4654,924.18,19,2,False
13798,p3379,p566,408.88,1,7,False
13799,p2874,p1262,906.72,18,5,False
13800,p1899,p4207,677.84,16,2,False
13801,p3924,p683,762.13,2,3,False
13802,p1690,p2598,582.85,1,5,False
13803,p4860,p1542,217.86,20,2,False
13804,p1721,p292,457.09,17,6,False
13805,p4787,p168,929.56,5,1,False
13806,p2982,p1134,559.41,17,7,False
13807,p2371,p4598,570.88,15,3,False
13808,p2812,p4220,641.66,17,7,False
13809,p2481,p1080,581.48,3,2,False
13810,p4618,p3857,265.85,9,6,False
13811,p782,p2286,377.59,8,2,False
13812,p2778,p1371,280.53,2,1,False
13813,p3740,p1063,826.43,4,7,False
13814,p1006,p3964,472.89,4,7,False
13815,p1106,p1996,80.28,2,3,False
13816,p1214,p262,67.15,8,1,False
13817,p2255,p4652,284.31,15,7,False
13818,p4173,p3789,714.21,19,5,False
13819,p307,p3932,577.77,5,7,False
13820,p528,p4850,616.78,13,1,False
13821,p398,p3863,854.68,18,5,False
13822,p3764,p1643,736.55,21,2,False
13823,p3797,p204,623.63,1,1,False
13824,p29,p3400,413.98,15,1,False
13825,p2122,p1161,737.86,7,3,False
13826,p3876,p1898,323.0,9,7,False
13827,p4285,p4898,225.34,5,1,False
13828,p758,p1865,197.38,12,2,False
13829,p4383,p2919,559.65,7,4,False
13830,p2760,p408,364.91,15,3,False
13831,p3991,p3173,476.81,7,5,False
13832,p654,p1028,598.52,13,5,False
13833,p4087,p446,239.34,23,6,False
